REGION,urb_pop_dens,urb_land
IDN,4616.286358195681,37720
MYS,3617.8856950330546,5043
CHL,5775.02383249003,2450
BOL,5905.090398585777,1359
PER,7876.755403791567,3022
ARG,4823.388543879838,7230
ESB,NA,0
CYP,2619.5380864785916,141
IND,7634.978459196926,126802
CHN,4610.687988748729,164866
ISR,4395.008169850234,1459
PSX,4357.358905030785,772
LBN,6046.10630065175,651
ETH,15873.032769360867,5669
SDS,16962.258641383538,631
SOM,8677.485722402278,747
KEN,6976.1986609632,3298
MWI,4879.464224073312,717
TZA,7084.628998608128,4904
SYR,5035.712789385487,2213
SOL,15949.92534571518,162
FRA,3085.5575073686223,9569
SUR,2407.7121285783483,94
GUY,3648.787572823319,103
KOR,6583.440870710788,6001
PRK,7527.153825265086,2458
MAR,6907.853802196574,3433
SAH,NA,0
CRI,3999.8744808968077,755
NIC,6267.901730901383,755
COG,9138.732942890887,408
COD,8387.023890341467,6302
BTN,11045.576649058949,22
UKR,3266.1386781651945,6892
BLR,4052.274679573747,1353
"NAM",4235.942087472925,208
ZAF,3622.027654198647,8977
MAF,2633.0951097276475,9
SXM,2374.9171295166016,8
OMN,3557.379900099857,771
UZB,3280.2074641028985,5054
KAZ,3502.4086559515763,2885
TJK,3655.1558759989534,1258
LTU,2783.8725657523946,470
BRA,4724.190591399897,30732
URY,4226.278977192914,603
MNG,6602.288149291129,286
RUS,3365.725118445304,24461
CZE,2879.2463080222096,1380
DEU,2668.4333111660007,13627
EST,3073.5699396280042,190
LVA,3002.5744431683806,296
NOR,2467.084843494144,620
SWE,2704.6524314501253,1466
FIN,2537.0364110863898,736
VNM,4271.267237809095,13930
KHM,4679.291433340683,1519
LUX,2592.023422429591,81
ARE,5094.868474711063,1346
BEL,2231.06754840427,2251
GEO,5022.961469706367,409
MKD,3698.1314925663055,318
ALB,4971.7501299454,295
AZE,4517.1554776119965,1284
KOS,3772.4712721805763,202
TUR,6033.022586553183,9230
ESP,4178.613012737986,6489
LAO,3173.951009667438,280
KGZ,4313.889919049065,774
ARM,4553.792237997662,394
DNK,2431.73499202339,983
LBY,2709.8675646778306,1328
TUN,4545.771319068083,1805
ROU,4105.694492505987,1950
HUN,2757.8677134357,1521
SVK,2852.2250103446645,653
POL,2992.3015349997636,5316
IRL,3011.9371030056573,637
GBR,3254.8072880307946,14406
GRC,5259.736347142076,1108
ZMB,6811.573450415171,1707
SLE,5973.298592506893,504
GIN,6636.365704462821,1145
LBR,4914.566249718413,416
CAF,6789.188203364136,440
SDN,10370.59648208624,3364
DJI,12421.705797098452,59
ERI,14145.651726780168,342
AUT,3545.6198968733015,930
IRQ,6579.775457393458,4521
ITA,3544.980889437851,9539
CHE,2867.026873119934,1380
IRN,6141.105989612358,9609
NLD,2703.84805488896,3826
LIE,NA,0
CIV,6240.2342369235,2210
SRB,3432.965106788026,989
MLI,7145.246219993668,1393
SEN,9292.474384468116,1217
NGA,6716.22193236552,20272
BEN,5191.252419734626,1378
AGO,8275.463712544803,2392
HRV,2887.99762691151,495
SVN,2735.9132334753526,217
QAT,4226.13692801087,432
SAU,4889.69504487794,5132
BWA,3319.6456471681595,384
ZWE,5787.6676947302685,1659
PAK,6901.07472706167,16842
BGR,3382.30598519559,870
THA,4008.494605593188,7154
SMR,NA,0
HTI,7046.366473258918,1090
DOM,5722.025070641271,1342
TCD,12682.293569468342,924
KWT,6153.8971039037515,558
SLV,4806.571803805208,877
GTM,5838.7795203786,2038
TLS,5770.9179446508015,65
BRN,2774.2416907677284,65
MCO,6581.034249441965,7
DZA,5099.390638203842,5479
MOZ,8554.242076539933,2378
SWZ,3541.2600887722438,90
BDI,10581.766592627173,891
RWA,5638.710741701205,1457
MMR,7193.782970460364,4474
BGD,3749.476720694258,30821
AND,3648.3714057074653,9
AFG,8129.136768156179,2852
MNE,2818.819383070204,90
BIH,3216.8473672061655,539
UGA,7393.774408835568,3738
USG,NA,0
CUB,4425.784437113553,1761
HND,4364.542822989478,896
ECU,6356.6146284803535,1887
COL,9193.535706375222,4561
PRY,4501.046286442843,987
BRI,NA,0
PRT,3283.3734215893232,1479
MDA,2948.937183970687,478
TKM,3779.8324976640906,708
JOR,5173.443973906125,1123
NPL,6326.313028404455,2426
LSO,5377.658345449131,223
CMR,9879.575073725613,1888
GAB,5358.972879473635,240
NER,9796.55982966415,1180
BFA,8582.366146043187,1525
TGO,7109.578386470159,754
GHA,5314.00563826506,3568
GNB,6645.575057315827,160
GIB,2948.9889322916665,3
USA,1597.676209808838,112646
CAN,2410.8939969205653,9724
MEX,5189.171183701592,17068
BLZ,3323.230643021433,57
PAN,3858.0942123861078,562
VEN,5661.813562008835,4546
PNG,13166.655482403174,424
EGY,6035.777727195449,13118
YEM,12527.503185274227,1682
MRT,7894.846036534179,329
GNQ,4918.135411776029,104
GMB,5452.503349763229,242
HKG,16530.273708977038,361
VAT,NA,0
CYN,2135.098077856976,46
CNM,2491.2665593073916,26
KAS,NA,0
KAB,3462.6347819010416,15
WSB,NA,0
SPI,NA,0
BRT,NA,0
ATA,NA,0
AUS,2013.258709521651,7619
GRL,NA,0
FJI,3541.503974592182,71
NZL,2077.4851302906236,1066
NCL,2864.5763764252533,37
MDG,8476.202077646298,1625
PHL,5595.521169124919,9603
LKA,3128.361263128958,2784
CUW,1291.1332297164402,95
ABW,1306.3693869534661,36
BHS,2058.3057909333306,90
TCA,1380.2212873186384,7
TWN,5620.771975218768,3350
JPN,3625.360796556491,24915
SPM,NA,0
ISL,2334.798230274614,84
PCN,NA,0
PYF,2171.1439633369446,48
ATF,NA,0
SYC,3122.9432220458984,8
KIR,2050.596476236979,9
MHL,1464.0557250976562,2
TTO,2651.5245144224878,269
GRD,1822.0935456412178,14
VCT,2250.2015491832385,11
BRB,2129.64235187399,58
LCA,2686.6404059273855,28
DMA,3116.1453704833984,8
UMI,NA,0
MSR,NA,0
ATG,2651.6534830729165,12
KNA,2837.52197265625,2
VIR,1857.6214447021484,8
BLM,NA,0
PRI,2367.6364406431176,704
AIA,NA,0
VGB,1916.7607014973958,3
JAM,3759.592930628619,439
CYM,NA,0
BMU,1661.3176214044745,11
HMD,NA,0
SHN,NA,0
MUS,3453.747502277087,240
COM,6732.272190834159,67
STP,4781.369337081909,17
CPV,9333.216184873838,37
MLT,3161.1295306147363,98
JEY,2663.088333129883,8
GGY,1283.66123046875,30
IMN,2598.0270385742188,12
ALD,NA,0
FRO,NA,0
IOA,NA,0
IOT,NA,0
SGP,14475.70169209225,407
NFK,NA,0
COK,NA,0
TON,NA,0
WLF,NA,0
WSM,2660.657779947917,15
SLB,3734.103156594669,17
TUV,NA,0
MDV,18087.587646484375,8
NRU,NA,0
FSM,NA,0
SGS,NA,0
FLK,NA,0
VUT,2682.8425018310545,20
NIU,NA,0
ASM,1866.8168029785156,4
PLW,1102.20458984375,4
GUM,2190.447375067349,29
MNP,1733.0016174316406,8
BHR,4454.580322903941,251
CSI,NA,0
PGA,NA,0
CLP,NA,0
MAC,22432.901846749442,21
ATC,NA,0
BJN,NA,0
SER,NA,0
SCR,NA,0
